Group,Element,Private Creator,VR,VM,Meaning,Rtn. Safe Priv. Opt.,IsInDICOMRetainSafePrivateTags,TCIA element_sig_pattern
0011,xx0c,GEMS_GENIE_1,SL,,Num Beats,keep,False,"(0011,xx0c)"
0011,xx0d,GEMS_GENIE_1,LO,,Radio Nuclide Name,keep,False,"(0011,xx0d)"
0011,xx10,SPI RELEASE 1,LO,,Organ,keep,False,"(0011,xx10)"
0011,xx10,GEMS_PATI_01,SS,,Patient Status,keep,False,"(0011,xx10)"
0011,xx11,GEMS_GENIE_1,SL,,Dataset Modified,keep,False,"(0011,xx11)"
0011,xx11,SIEMENS CM VA0  CMS,TM,,Registration Time,keep,False,"(0011,xx11)"
0011,xx14,GEMS_GENIE_1,LO,,Completion Time,keep,False,"(0011,xx14)"
0011,xx15,GEMS_GENIE_1,SL,,Detector Number,keep,False,"(0011,xx15)"
0011,xx16,GEMS_GENIE_1,SL,,Energy Number,keep,False,"(0011,xx16)"
0011,xx17,GEMS_GDXE_FALCON_04,CS,,Override Mode,keep,False,"(0011,xx17)"
0011,xx17,GEMS_GENIE_1,SL,,RR Interval Window Number,keep,False,"(0011,xx17)"
0011,xx18,GEMS_GENIE_1,SL,,MG Bin Number,keep,False,"(0011,xx18)"
0011,xx19,GEMS_GENIE_1,FD,,Radius Of Rotation,keep,False,"(0011,xx19)"
0011,xx1a,GEMS_GENIE_1,SL,,Detector Count Zone,keep,False,"(0011,xx1a)"
0011,xx1f,GEMS_GENIE_1,SL,,Image Orientation,keep,False,"(0011,xx1f)"
0011,xx26,GEMS_GENIE_1,SL,,Table Orientation,keep,False,"(0011,xx26)"
0011,xx27,GEMS_GENIE_1,SL,,ROI Top Left,keep,False,"(0011,xx27)"
0011,xx28,GEMS_GENIE_1,SL,,ROI Bottom Right,keep,False,"(0011,xx28)"
0011,xx2c,GEMS_GENIE_1,FD,,View X Adjustment,keep,False,"(0011,xx2c)"
0011,xx2d,GEMS_GENIE_1,FD,,View Y Adjustment,keep,False,"(0011,xx2d)"
0011,xx2e,GEMS_GENIE_1,SL,,Pixel Overflow Flag,keep,False,"(0011,xx2e)"
0011,xx2f,GEMS_GENIE_1,SL,,Overflow Level,keep,False,"(0011,xx2f)"
0011,xx31,GEMS_GENIE_1,LO,,Acquisition Parent UID,func:generate_hashuid,False,"(0011,xx31)"
0011,xx33,GEMS_GENIE_1,LO,,Energy Correct Name,keep,False,"(0011,xx33)"
0011,xx34,GEMS_GENIE_1,LO,,Spatial Correct Name,keep,False,"(0011,xx34)"
0011,xx35,GEMS_GENIE_1,LO,,Tuning Calib Name,keep,False,"(0011,xx35)"
0011,xx36,GEMS_GENIE_1,LO,,Uniformity Correct Name,keep,False,"(0011,xx36)"
0011,xx37,GEMS_GENIE_1,LT,,Acquisition Specific Correct Name,keep,False,"(0011,xx37)"
0011,xx38,GEMS_GENIE_1,SL,,Byte Order,keep,False,"(0011,xx38)"
0011,xx39,GEMS_GDXE_FALCON_04,CS,,Image Number in Pasting,keep,False,"(0011,xx39)"
0011,xx39,GEMS_GENIE_1,SL,,Compression Type,keep,False,"(0011,xx39)"
0011,xx3a,GEMS_GENIE_1,SL,,Picture Format,keep,False,"(0011,xx3a)"
0011,xx3b,GEMS_GENIE_1,FD,,Pixel Scale,keep,False,"(0011,xx3b)"
0011,xx3c,GEMS_GENIE_1,FD,,Pixel Offset,keep,False,"(0011,xx3c)"
0011,xx40,SIEMENS CM VA0  CMS,IS,,Organ Code,keep,False,"(0011,xx40)"
0011,xx40,GEMS_GENIE_1,LO,,Viewing Object Name,keep,False,"(0011,xx40)"
0011,xx41,GEMS_GENIE_1,SL,,Orientation Angle,keep,False,"(0011,xx41)"
0011,xx42,GEMS_GENIE_1,FD,,Rotation Angle,keep,False,"(0011,xx42)"
0011,xx43,GEMS_GENIE_1,SL,,Window Inverse Flag,keep,False,"(0011,xx43)"
0011,xx50,GEMS_GENIE_1,LO,,Where Object Name,keep,False,"(0011,xx50)"
0011,xx55,GEMS_GENIE_1,FD,,Period,keep,False,"(0011,xx55)"
